Facility ID,Facility Name,Short Description,Description,Facility Open Date,Facility Address 1,Facility Address 2,Facility City,Facility State,Facility Zip Code,Facility Phone Number,Facility Fax Number,Facility Website,Facility County Code,Facility County,Regional Office ID,Regional Office,Main Site Name,Main Site Facility ID,Operating Certificate Number,Operator Name,Operator Address 1,Operator Address 2,Operator City,Operator State,Operator Zip Code,Cooperator Name,Cooperator Address,Cooperator Address 2,Cooperator City,Cooperator State,Cooperator Zip Code,Ownership Type,Facility Latitude,Facility Longitude,Facility Location
620,Charles T Sitrin Health Care Center Inc,NH,Residential Health Care Facility - SNF,02/01/1989,2050 Tilden Avenue,,New Hartford,New York,13413,3157973114,,,32,Oneida,3,Central New York Regional Office,,,3227304N,"Charles T Sitrin Health Care Center, Inc",Box 1000 Tilden Avenue,,New Hartford,New York,13413,,,,,New York,,Not for Profit Corporation,43.05497,-75.228828,"(43.05497, -75.228828)"
654,Central Park Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,02/01/1989,116 Martin Luther King East,,Syracuse,New York,13205,3154751641,,,33,Onondaga,3,Central New York Regional Office,,,3301326N,"CPRNC, LLC",116 Martin Luther King East,,Syracuse,New York,13205,,,,,New York,,LLC,,,
970,Roscoe Rehabilitation and Nursing Center,NH,Residential Health Care Facility - SNF,01/01/1901,420 Rockland Road,,Roscoe,New York,12776,6074984121,6074985576,,52,Sullivan,6,Metropolitan Area Regional Office - New Rochelle,,,5262301N,"Roscoe Regional Healthcare, LLC",230 Hilton Avenue - Suite 4,,Hempstead,New York,11550,,,,,New York,,LLC,41.96225,-74.907913,"(41.96225, -74.907913)"
1465,Rockefeller University Hospital,HOSP,Hospital,01/01/1901,1230 York Avenue,,New York,New York,10021,2123277511,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002031H,The Rockefeller University Inc,1230 York Avenue,,New York,New York,10021,,,,,New York,,Not for Profit Corporation,40.762962,-73.956512,"(40.762962, -73.956512)"
3012,Buffalo Center for Rehabilitation and Nursing,NH,Residential Health Care Facility - SNF,01/01/1980,1014 Delaware Ave,,Buffalo,New York,14209,7168836782,7168836932,,14,Erie,1,Western Regional Office - Buffalo,,,1401341N,Delaware Operations Associates LLC,1014 Delaware Avenue,,Buffalo,New York,14209,,,,,New York,,LLC,42.911777,-78.870277,"(42.911777, -78.870277)"
3295,Elderwood at Hamburg,NH,Residential Health Care Facility - SNF,01/21/1985,5775 Maelou Drive,,Hamburg,New York,14075,7166482820,,,14,Erie,1,Western Regional Office - Buffalo,,,1430303N,"5775 Maelou Drive Operating Company, LLC",5775 Maelou Drive,31st Floor,Hamburg,New York,14075,,,,,New York,,LLC,42.730587,-78.833969,"(42.730587, -78.833969)"
6907,Castle Hill Medical Center of New York Inc.,DTC,Diagnostic and Treatment Center,01/01/2007,920 Castle Hill Avenue,,Bronx,New York,10473,7188240500,,,7094,Bronx,5,Metropolitan Area Regional Office - New York City,,,7000273R,Castle Hill Medical Center of New York Inc.,920 Castle Hill Avenue,,Bronx,New York,10473,,,,,New York,,Business Corporation,40.826061,-73.849594,"(40.826061, -73.849594)"
7016,Glen Arden Inc,NH,Residential Health Care Facility - SNF,11/04/1996,214 Harriman Drive,,Goshen,New York,10924,8452917800,,,35,Orange,6,Metropolitan Area Regional Office - New Rochelle,,,3523303N,"Glen Arden, Inc",6 Harriman Drive,,Goshen,New York,10924,Elant Inc.,620 Sleepy Hollow Road,,Briarcliff Manor,New York,10510,Not for Profit Corporation,41.387551,-74.315904,"(41.387551, -74.315904)"
7072,Huntington Hosp Dolan Fam Health Center,DTC,Diagnostic and Treatment Center,02/06/1997,284 Pulaski Road,,Green Lawn,New York,11740,6314255250,,,51,Suffolk,7,Metropolitan Area Regional Office - Long Island,,,5153207R,"Huntington Hospital Dolan Family Health Center, Inc",284 Pulaski Road,,Green Lawn,New York,11740,,,,,New York,,Not for Profit Corporation,40.857697,-73.387756,"(40.857697, -73.387756)"
7806,Harlem East Life Plan,DTC,Diagnostic and Treatment Center,08/31/1999,2367-69 Second Avenue,,New York,New York,10035,2128762300,,,7093,New York,5,Metropolitan Area Regional Office - New York City,,,7002165R,SES Operating Corp,2367-2369 Second Avenue,,New York,New York,10035,,,,,New York,,Business Corporation,40.800568,-73.935249,"(40.800568, -73.935249)"
